DB_Entry,Display_Name
Honolulu    ,Pacific/Honolulu
Los Angeles ,America/Los_Angeles
Denver      ,America/Denver
Chicago     ,America/Chicago
Washington  ,America/New_York
Ponce       ,America/Puerto_Rico
Santiago    ,America/Santiago
Sao Paulo   ,America/Sao_Paulo
UTC         ,UTC
London      ,Europe/London
Lagos       ,Africa/Lagos
Rome        ,Europe/Rome
Jerusalem   ,Asia/Jerusalem
Addis Ababa ,Africa/Addis_Ababa
Dubai       ,Asia/Dubai
Mumbai      ,Asia/Calcutta
Jakarta     ,Asia/Jakarta
Manila      ,Asia/Manila
Tokyo       ,Asia/Tokyo
Sydney      ,Australia/Sydney
Auckland    ,Pacific/Auckland
